Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
felt;graffiti;Jewish students.;in my dorm;a professor.;2024-11-26 18:04:43
heard;something else;Jewish students.;on the quad;someone from off campus.;2024-11-26 18:05:03
experienced;faculty conduct;Israel.;in a classroom;a student.;2024-11-26 18:05:26
saw;speech/rhetoric;Jews or the Jewish community.;in my dorm;someone online.;2024-11-26 18:05:39
heard;property damage;me.;at Hillel or Chabad;i’m not sure/unknown.;2024-11-26 18:05:54
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-11-26 20:03:23
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-11-26 20:13:33
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-11-27 06:14:53
saw;speech/rhetoric;Jews or the Jewish community.;in my dorm;a professor.;2024-11-27 06:16:08
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2024-11-27 06:53:50
heard;speech/rhetoric;Jews or the Jewish community.;at my fraternity or sorority;a student.;2024-11-27 07:13:47
—;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-11-27 10:03:18
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-11-27 13:48:10
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in a classroom;a student.;2024-11-27 18:22:09
heard;speech/rhetoric;the Israeli government.;in a classroom;a campus club or organization.;2024-11-28 13:00:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-11-28 19:01:37
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-11-29 06:18:59
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-11-29 12:16:12
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2024-11-29 15:50:24
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-11-30 14:33:29
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-12-01 14:01:14
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-12-01 20:01:10
experienced;speech/rhetoric;Jewish students.;at my fraternity or sorority;a student.;2024-12-02 06:32:26
heard;speech/rhetoric;me.;on the quad;i’m not sure/unknown.;2024-12-02 08:34:37
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-12-02 08:35:02
heard;speech/rhetoric;Jews or the Jewish community.;online;i’m not sure/unknown.;2024-12-02 08:37:54
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;in a classroom;a student.;2024-12-02 08:39:16
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-02 08:46:48
felt;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-12-02 08:47:05
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-12-02 08:54:44
experienced;graffiti;—;at a student club;—;2024-12-02 08:59:03
felt;speech/rhetoric;Israel.;in a classroom;i’m not sure/unknown.;2024-12-02 08:59:27
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2024-12-02 09:13:14
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-12-02 09:20:31
heard;speech/rhetoric;Israel.;on the quad;a student.;2024-12-02 09:35:25
experienced;faculty conduct;Israel.;in a classroom;a professor.;2024-12-02 09:36:33
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a professor.;2024-12-02 11:11:38
saw;faculty conduct;Jewish students.;in a classroom;a professor.;2024-12-02 11:37:58
felt;speech/rhetoric;Jewish students.;in a classroom;a student.;2024-12-02 11:56:10
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-12-02 12:33:21
heard;speech/rhetoric;Israel.;online;i’m not sure/unknown.;2024-12-02 12:38:03
experienced;faculty conduct;me.;in a classroom;a professor.;2024-12-02 12:38:38
experienced;speech/rhetoric;me.;off campus;—;2024-12-02 13:15:40
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-12-02 13:33:02
heard;speech/rhetoric;Israel.;in a classroom;i’m not sure/unknown.;2024-12-02 13:37:08
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-02 14:06:37
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-12-02 14:18:46
experienced;speech/rhetoric;Israel.;off campus;someone from off campus.;2024-12-02 15:19:05
felt;speech/rhetoric;me.;on the quad;a student.;2024-12-02 23:08:02
experienced;physical assault;Jewish students.;at Hillel or Chabad;a student.;2024-12-02 23:10:00
experienced;speech/rhetoric;me.;in a classroom;a student.;2024-12-02 23:13:26
experienced;speech/rhetoric;me.;in a classroom;a professor.;2024-12-02 23:14:07
felt;physical assault;Jewish students.;in a classroom;a student.;2024-12-02 23:14:57
felt;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2024-12-03 18:08:05
felt;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;in a classroom;a professor.;2024-12-04 07:41:51
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2024-12-04 09:58:32
heard;speech/rhetoric;Israel.;on the quad;a student.;2024-12-04 10:01:20
experienced;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;a campus club or organization.;2024-12-04 13:07:38
experienced;speech/rhetoric;Israel.;off campus;someone from off campus.;2024-12-04 15:58:12
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-12-04 22:59:13
saw;graffiti;the Israeli government.;at a student club;i’m not sure/unknown.;2024-12-05 00:10:46
saw;speech/rhetoric;Israel.;in a classroom;a student.;2024-12-05 00:11:17
heard;property damage;Jewish students.;off campus;i’m not sure/unknown.;2024-12-05 12:35:51
experienced;faculty conduct;Israel.;at my fraternity or sorority;a professor.;2024-12-05 16:14:01
felt;speech/rhetoric;Israel.;in a classroom;a student.;2024-12-06 08:13:32
experienced;speech/rhetoric;Israel.;off campus;a student.;2024-12-06 08:20:45
experienced;speech/rhetoric;Israel.;online;a professor.;2024-12-06 09:07:23
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-12-06 09:23:33
heard;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-12-06 10:41:35
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;someone from off campus.;2024-12-06 11:28:54
saw;property damage;me.;in my dorm;i’m not sure/unknown.;2024-12-06 11:42:15
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;off campus;i’m not sure/unknown.;2024-12-06 11:42:47
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-06 12:59:35
experienced;speech/rhetoric;me.;in a classroom;a professor.;2024-12-06 15:47:33
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-12-06 15:52:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2024-12-06 19:18:52
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-06 19:19:50
experienced;speech/rhetoric;me.;off campus;a student.;2024-12-06 19:57:55
heard;speech/rhetoric;me.;in my dorm;a student.;2024-12-06 21:19:52
felt;graffiti;the Israeli government.;on the quad;a campus club or organization.;2024-12-06 22:20:56
saw;speech/rhetoric;Jews or the Jewish community.;online;someone from off campus.;2024-12-07 06:59:34
experienced;speech/rhetoric;Israel.;in a classroom;a student.;2024-12-07 09:25:49
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-07 10:16:09
felt;speech/rhetoric;Israel.;in a classroom;a professor.;2024-12-07 10:26:37
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-07 15:05:19
felt;speech/rhetoric;the Israeli government.;at my fraternity or sorority;i’m not sure/unknown.;2024-12-07 19:36:43
experienced;speech/rhetoric;me.;off campus;someone from off campus.;2024-12-07 19:50:29
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2024-12-08 06:09:32
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;a student.;2024-12-08 07:36:20
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-12-08 09:54:22
experienced;property damage;Jews or the Jewish community.;in my dorm;i’m not sure/unknown.;2024-12-08 23:21:11
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in a classroom;a student.;2024-12-08 23:21:53
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;—;2024-12-09 01:50:11
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;on the quad;—;2024-12-09 01:50:59
heard;speech/rhetoric;Israel.;online;i’m not sure/unknown.;2024-12-09 06:44:39
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-09 08:04:50
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-09 12:53:20
saw;speech/rhetoric;the Israeli government.;in my dorm;a student.;2024-12-09 15:24:52
experienced;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2024-12-09 15:25:47
experienced;faculty conduct;—;in a classroom;—;2024-12-09 16:07:25
experienced;speech/rhetoric;me.;off campus;someone from off campus.;2024-12-09 16:14:03
experienced;speech/rhetoric;me.;off campus;a student.;2024-12-09 18:43:12
heard;speech/rhetoric;Israel.;on the quad;—;2024-12-09 21:57:22
experienced;graffiti;me.;at a student club;—;2024-12-09 23:56:31
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;online;someone online.;2024-12-10 00:03:51
experienced;graffiti;me.;off campus;someone online.;2024-12-10 00:04:47
felt;something else;Jewish students.;off campus;someone online.;2024-12-10 06:39:35
heard;faculty conduct;Israel.;in a classroom;a professor.;2024-12-10 06:41:44
felt;speech/rhetoric;Israel.;off campus;someone from off campus.;2024-12-10 15:31:20
experienced;speech/rhetoric;the Israeli government.;online;—;2024-12-10 18:44:26
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-12-11 17:49:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone online.;2024-12-11 22:29:06
heard;speech/rhetoric;the Israeli government.;off campus;someone from off campus.;2024-12-12 00:02:22
saw;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2024-12-12 09:27:34
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-12-12 09:29:22
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-12 09:36:26
saw;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-12-12 09:40:06
felt;graffiti;Jewish students.;off campus;someone from off campus.;2024-12-12 22:56:32
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;—;2024-12-12 23:28:01
experienced;speech/rhetoric;Jews or the Jewish community.;online;someone online.;2024-12-13 08:15:32
experienced;speech/rhetoric;me.;online;someone from off campus.;2024-12-13 10:19:04
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-12-13 11:07:07
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-12-14 11:24:58
experienced;speech/rhetoric;me.;in a classroom;a professor.;2024-12-14 13:55:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;—;2024-12-15 01:07:05
saw;speech/rhetoric;the Israeli government.;online;i’m not sure/unknown.;2024-12-15 10:36:54
felt;something else;Jews or the Jewish community.;online;a student.;2024-12-15 17:55:51
heard;property damage;Jews or the Jewish community.;off campus;i’m not sure/unknown.;2024-12-15 18:53:07
heard;property damage;Jewish students.;off campus;i’m not sure/unknown.;2024-12-15 18:54:12
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-12-15 19:31:56
experienced;speech/rhetoric;Israel.;on the quad;a student.;2024-12-16 05:29:53
saw;graffiti;Israel.;off campus;—;2024-12-16 23:39:40
felt;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-12-16 23:43:52
experienced;speech/rhetoric;me.;online;a student.;2024-12-17 08:39:20
experienced;something else;Jewish students.;in a classroom;a professor.;2024-12-17 13:45:46
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-12-18 00:22:02
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-12-18 08:39:12
felt;speech/rhetoric;me.;in a classroom;a student.;2024-12-18 12:10:25
heard;faculty conduct;Israel.;in a classroom;a professor.;2024-12-18 12:10:44
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-12-18 12:24:53
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-18 12:28:23
experienced;speech/rhetoric;Israel.;on the quad;a student.;2024-12-18 13:22:53
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-18 21:41:53
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-18 22:56:50
heard;physical assault;the Israeli government.;online;a campus club or organization.;2024-12-19 07:35:48
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone from off campus.;2024-12-19 09:18:09
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-19 09:18:36
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-12-19 09:22:52
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-19 16:09:28
felt;speech/rhetoric;me.;online;someone online.;2024-12-19 16:09:47
heard;speech/rhetoric;Jews or the Jewish community.;at my fraternity or sorority;a student.;2024-12-20 07:13:12
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;—;2024-12-20 20:40:29
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;online;a campus club or organization.;2024-12-20 20:43:05
experienced;graffiti;me.;in my dorm;—;2024-12-20 20:43:28
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-21 02:25:38
felt;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-12-21 02:26:25
felt;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2024-12-21 12:35:02
experienced;speech/rhetoric;me.;in a classroom;someone from off campus.;2024-12-21 18:04:14
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-12-21 18:45:24
felt;physical assault;me.;online;someone online.;2024-12-22 20:00:32
saw;faculty conduct;Israel.;in a classroom;a professor.;2024-12-23 06:28:31
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2024-12-23 09:28:12
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-23 14:38:30
experienced;faculty conduct;Jewish students.;off campus;i’m not sure/unknown.;2024-12-23 20:46:07
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-12-23 23:13:00
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2024-12-24 01:48:49
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;—;2024-12-24 15:46:15
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-12-24 19:15:45
experienced;graffiti;Israel.;in a classroom;a student.;2024-12-25 08:12:13
experienced;graffiti;the Israeli government.;off campus;a student.;2024-12-25 08:12:48
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-12-25 09:30:28
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;a student.;2024-12-25 11:10:50
heard;speech/rhetoric;the Israeli government.;online;someone online.;2024-12-25 14:06:39
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-25 18:44:24
heard;speech/rhetoric;Israel.;in my dorm;a student.;2024-12-25 22:14:04
heard;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-12-26 02:42:30
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-12-26 08:13:31
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;someone from off campus.;2024-12-26 22:50:46
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-12-27 00:43:45
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;—;2024-12-27 01:12:11
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-27 06:53:04
experienced;speech/rhetoric;the Israeli government.;off campus;a student.;2024-12-27 07:07:27
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2024-12-27 08:12:16
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-27 08:13:40
experienced;graffiti;Israel.;in a classroom;i’m not sure/unknown.;2024-12-27 08:14:11
experienced;graffiti;the Israeli government.;in a classroom;a campus club or organization.;2024-12-27 08:14:39
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in a classroom;a professor.;2024-12-27 08:32:48
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-12-27 08:48:04
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;—;2024-12-27 09:57:03
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-12-27 10:27:32
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-27 10:46:36
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2024-12-27 10:57:46
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-12-27 11:12:32
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-27 11:23:07
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a student.;2024-12-27 11:26:01
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-12-27 12:10:38
experienced;speech/rhetoric;the Israeli government.;off campus;a student.;2024-12-27 13:06:06
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-27 13:20:52
heard;speech/rhetoric;the Israeli government.;off campus;i’m not sure/unknown.;2024-12-27 13:23:09
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a campus club or organization.;2024-12-27 13:31:19
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone from off campus.;2024-12-27 13:37:08
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-12-27 13:38:12
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-12-27 13:44:55
experienced;graffiti;the Israeli government.;at a student club;a student.;2024-12-27 13:57:54
saw;physical assault;faculty, staff, or administrators.;off campus;i’m not sure/unknown.;2024-12-27 14:07:42
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-27 14:08:13
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;a campus club or organization.;2024-12-27 14:16:34
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;a campus club or organization.;2024-12-27 14:19:26
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-12-27 14:20:34
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-27 14:25:55
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a campus club or organization.;2024-12-27 14:50:21
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-12-27 15:07:12
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-27 15:10:31
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-27 15:29:56
experienced;speech/rhetoric;me.;in my dorm;a student.;2024-12-27 15:30:24
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;—;i’m not sure/unknown.;2024-12-27 15:32:20
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2024-12-27 17:11:06
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-27 17:14:50
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2024-12-27 17:19:15
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;—;2024-12-27 17:27:04
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;—;2024-12-27 17:30:09
saw;physical assault;the Israeli government.;on the quad;i’m not sure/unknown.;2024-12-27 17:30:31
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2024-12-27 18:01:06
saw;speech/rhetoric;Israel.;online;someone online.;2024-12-27 18:01:28
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-12-27 18:17:44
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at Hillel or Chabad;a student.;2024-12-27 18:18:12
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;—;2024-12-27 18:26:08
experienced;speech/rhetoric;Jews or the Jewish community.;—;—;2024-12-27 18:26:31
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-27 19:37:11
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-12-27 20:52:56
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-27 21:47:21
experienced;speech/rhetoric;Israel.;in my dorm;a student.;2024-12-27 22:04:04
experienced;speech/rhetoric;Israel.;in a classroom;a professor.;2024-12-27 22:22:59
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-27 23:12:04
saw;graffiti;the Israeli government.;on the quad;i’m not sure/unknown.;2024-12-27 23:44:24
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-27 23:45:47
—;speech/rhetoric;the Israeli government.;at Hillel or Chabad;i’m not sure/unknown.;2024-12-28 00:13:09
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-12-28 00:16:38
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-28 00:40:51
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-28 01:30:09
saw;graffiti;Jews or the Jewish community.;in my dorm;i’m not sure/unknown.;2024-12-28 01:31:57
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-12-28 02:16:42
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-28 05:50:45
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-12-28 06:33:54
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-12-28 07:30:45
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-28 07:35:29
heard;faculty conduct;Israel.;in a classroom;a professor.;2024-12-28 08:16:56
saw;graffiti;Jews or the Jewish community.;in a classroom;a professor.;2024-12-28 08:40:09
experienced;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;i’m not sure/unknown.;2024-12-28 08:43:43
experienced;faculty conduct;Jews or the Jewish community.;on the quad;a professor.;2024-12-28 08:48:47
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone from off campus.;2024-12-28 08:50:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-28 09:17:10
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-28 09:28:18
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;i’m not sure/unknown.;2024-12-28 09:37:54
heard;speech/rhetoric;Israel.;at a student club;a student.;2024-12-28 12:52:51
experienced;speech/rhetoric;me.;off campus;a student.;2024-12-28 13:15:54
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2024-12-28 19:15:19
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-28 19:37:09
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-28 20:53:20
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;a student.;2024-12-28 21:43:25
experienced;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-12-28 21:44:03
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-29 09:59:23
heard;something else;faculty, staff, or administrators.;on the quad;—;2024-12-29 17:18:15
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-12-29 17:39:14
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-30 00:43:13
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-12-30 06:20:09
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-30 07:18:21
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in my dorm;a student.;2024-12-30 08:00:26
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-12-30 09:42:19
felt;property damage;the Israeli government.;off campus;a student.;2024-12-30 10:00:35
heard;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2024-12-30 10:24:12
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-30 10:46:23
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a student.;2024-12-30 11:00:52
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a campus club or organization.;2024-12-30 11:06:18
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-30 11:17:32
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-12-30 11:19:29
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-30 11:23:22
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-12-30 12:07:03
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-12-30 12:33:29
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-12-30 13:37:40
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-12-30 13:50:17
